Vietnamese Buddhist Organizations (Smaller/Community-Based – U.S.)
Name	Type	Website	Google Maps (Address)
Chùa Quang Minh (Quang Minh Temple)	Temple	http://www.chuaquangminh.org	1168 Benteen Ave SE, Atlanta, GA 30312
Chùa Thiên Ân (Desert Zen Center)	Zen Monastery	http://www.desertzencenter.org	10989 Buena Vista Rd, Lucerne Valley, CA 92356
Chùa Bửu Môn (Buu Mon Buddhist Temple)	Temple	http://www.buumon.org	2701 Procter St, Port Arthur, TX 77640
Chùa Tam Bảo – Tulsa (Tam Bao Buddhist Temple)	Temple	https://ducquanam.com	16933 E 21st St, Tulsa, OK 74134
Chùa Tam Bảo – Baton Rouge (Tam Bao Meditation Center)	Meditation Center	https://www.batonrougebuddha.org	975 Monterrey Blvd, Baton Rouge, LA 70815
Chùa Linh Sơn (Linh Son Buddhist Temple – Austin)	Temple	http://www.linhsonaustin.org	4604 Duval Rd, Austin, TX 78727
Chùa Từ Hiếu (Tu Hieu Buddhist Cultural Center)	Buddhist Center	http://chuatuhieu.org	647 Fillmore Ave, Buffalo, NY 14212
Thiền Viện Bồ Đề (Bo De Meditation Center)	Zen Meditation Center	https://tvbode.com	773 Granite St, Braintree, MA 02184
Chùa Tường Vân (Tuong Van Temple)	Temple	https://chuatuongvan.com	47 Wilbur St, Lowell, MA 01851
Chùa Kim Quang (Kim Quang Temple)	Temple	http://phexbach.wixsite.com/kimquang	3119 Alta Arden Expy, Sacramento, CA 95825
Chùa Giác Hoàng (Giac Hoang Buddhist Temple)	Temple	https://chuagiachoangdc.org	5401 16th St NW, Washington, DC 20011
Chùa Hương Đạo (Huong Dao Temple)	Temple	http://chuahuongdao.org	4717 E Rosedale St, Fort Worth, TX 76105
Tu Viện Cát Trắng (White Sands Buddhist Center)	Buddhist Center (Monastery)	https://www.tvct.org	4640 Knost Dr, Mims, FL 32754
Chùa Linh Sơn (Linh Son Temple – Worcester)	Temple	https://linhsonmass.org	16 Ruthven Ave, Worcester, MA 01606
Ni Viện Phổ Hiền (Pho Hien Nunnery)	Nunnery (Convent)	https://nivienphohien.com	2412 Tomoka Farms Rd, Port Orange, FL 32128
Chùa Địa Tạng Viên Quang (Ksitigarbha Temple)	Temple	http://www.diatangtemple.org	1705 Filbert Rd, Lynnwood, WA 98036
Đại Niệm Xứ Thiền Viện (Dai Niem Xu Zen Monastery)	Zen Monastery	https://www.dainiemxutv.org	24821 US-27, Leesburg, FL 34748
Chùa Quang Nghiêm (Quang Nghiem Buddhist Temple)	Temple	http://quangnghiem.org	501 N E St, Stockton, CA 95205
Chùa Bát Nhã (Bat Nha Buddhist Temple)	Temple	https://chuabatnhacali.org	4717 W 1st St, Santa Ana, CA 92703
Tu Viện Kim Sơn (Kim Son Monastery)	Monastery	https://www.kimson.org	574 Summit Rd, Watsonville, CA 95076
